type,freq,complaint_type,city_name,complaint_frac
HEAT/HOT WATER,241430,HEAT/HOT WATER,BRONX,0.3300749699705919
HEAT/HOT WATER,241430,HEAT/HOT WATER,BROOKLYN,0.29992130224081515
HEAT/HOT WATER,241430,HEAT/HOT WATER,Flushing,0.011353187259246987
HEAT/HOT WATER,241430,HEAT/HOT WATER,Jamaica,0.013983349210951415
HEAT/HOT WATER,241430,HEAT/HOT WATER,NEW YORK,0.23006668599594085
HEAT/HOT WATER,241430,HEAT/HOT WATER,STATEN ISLAND,0.009443731102182827
Street Condition,124347,Street Condition,ASTORIA,0.004334644181202603
Street Condition,124347,Street Condition,BRONX,0.09740484289930597
Street Condition,124347,Street Condition,BROOKLYN,0.276854286794213
Street Condition,124347,Street Condition,Flushing,0.019180197350961423
Street Condition,124347,Street Condition,Jamaica,0.018729844708758554
Street Condition,124347,Street Condition,NEW YORK,0.15368283915172862
Street Condition,124347,Street Condition,STATEN ISLAND,0.13582153168150418
Street Light Condition,98577,Street Light Condition,BRONX,0.08038386236140276
Street Light Condition,98577,Street Light Condition,BROOKLYN,0.19355427736693143
Street Light Condition,98577,Street Light Condition,Flushing,0.017894640737697434
Street Light Condition,98577,Street Light Condition,Jamaica,0.02506669912859998
Street Light Condition,98577,Street Light Condition,NEW YORK,0.021292999381194395
Street Light Condition,98577,Street Light Condition,STATEN ISLAND,0.06286456272761394
Blocked Driveway,95080,Blocked Driveway,ASTORIA,0.035107278081615484
Blocked Driveway,95080,Blocked Driveway,BRONX,0.16415649978965083
Blocked Driveway,95080,Blocked Driveway,BROOKLYN,0.3612852334875894
Blocked Driveway,95080,Blocked Driveway,NEW YORK,0.02850231384097602
Blocked Driveway,95080,Blocked Driveway,STATEN ISLAND,0.02841817416912074
Illegal Parking,83961,Illegal Parking,ASTORIA,0.017329474398828027
Illegal Parking,83961,Illegal Parking,BRONX,0.10940793940043592
Illegal Parking,83961,Illegal Parking,BROOKLYN,0.36320434487440595
Illegal Parking,83961,Illegal Parking,NEW YORK,0.15860935434308787
Illegal Parking,83961,Illegal Parking,STATEN ISLAND,0.06952037255392385
UNSANITARY CONDITION,81394,UNSANITARY CONDITION,BRONX,0.2879819151288793
UNSANITARY CONDITION,81394,UNSANITARY CONDITION,BROOKLYN,0.3522126938103546
UNSANITARY CONDITION,81394,UNSANITARY CONDITION,Flushing,0.00852642700936187
UNSANITARY CONDITION,81394,UNSANITARY CONDITION,Jamaica,0.01901860087967172
UNSANITARY CONDITION,81394,UNSANITARY CONDITION,NEW YORK,0.1911688822271912
UNSANITARY CONDITION,81394,UNSANITARY CONDITION,STATEN ISLAND,0.02322038479494803
PAINT/PLASTER,69929,PAINT/PLASTER,BRONX,0.32043930272133164
PAINT/PLASTER,69929,PAINT/PLASTER,BROOKLYN,0.34663730355074435
PAINT/PLASTER,69929,PAINT/PLASTER,Flushing,0.009838550529823107
PAINT/PLASTER,69929,PAINT/PLASTER,Jamaica,0.014886527763874786
PAINT/PLASTER,69929,PAINT/PLASTER,NEW YORK,0.20562284602954425
PAINT/PLASTER,69929,PAINT/PLASTER,STATEN ISLAND,0.014028514636273935
Water System,69209,Water System,BRONX,0.15843315175771938
Water System,69209,Water System,BROOKLYN,0.27807077114248147
Water System,69209,Water System,Flushing,0.0201418890606713
Water System,69209,Water System,Jamaica,0.03223569188978312
Water System,69209,Water System,NEW YORK,0.18035226632374401
Water System,69209,Water System,STATEN ISLAND,0.08933809186666473
PLUMBING,55445,PLUMBING,BRONX,0.3053296059157724
PLUMBING,55445,PLUMBING,BROOKLYN,0.3412210298494003
PLUMBING,55445,PLUMBING,Flushing,0.007701325638019659
PLUMBING,55445,PLUMBING,Jamaica,0.021715213274416088
PLUMBING,55445,PLUMBING,NEW YORK,0.2079357922265308
PLUMBING,55445,PLUMBING,STATEN ISLAND,0.02148074668590495
Noise,54165,Noise,BRONX,0.053540108926428506
Noise,54165,Noise,BROOKLYN,0.2651527739315056
Noise,54165,Noise,Flushing,0.014123511492661313
Noise,54165,Noise,Jamaica,0.008584879534754916
Noise,54165,Noise,NEW YORK,0.4789624296132189
Noise,54165,Noise,STATEN ISLAND,0.028283947198375334
Noise - Street/Sidewalk,48436,Noise - Street/Sidewalk,ASTORIA,0.011128086547196301
Noise - Street/Sidewalk,48436,Noise - Street/Sidewalk,BRONX,0.18001073581633495
Noise - Street/Sidewalk,48436,Noise - Street/Sidewalk,BROOKLYN,0.26645470311338676
Noise - Street/Sidewalk,48436,Noise - Street/Sidewalk,NEW YORK,0.4289165083821951
Noise - Street/Sidewalk,48436,Noise - Street/Sidewalk,STATEN ISLAND,0.01880832438681972
Traffic Signal Condition,44229,Traffic Signal Condition,BRONX,0.0392728752628366
Traffic Signal Condition,44229,Traffic Signal Condition,BROOKLYN,0.2785276628456443
Traffic Signal Condition,44229,Traffic Signal Condition,Flushing,0.013995342422392547
Traffic Signal Condition,44229,Traffic Signal Condition,Jamaica,0.02335571683736915
Traffic Signal Condition,44229,Traffic Signal Condition,NEW YORK,0.028284609645255376
Traffic Signal Condition,44229,Traffic Signal Condition,STATEN ISLAND,0.03646928485835085
Noise - Commercial,42422,Noise - Commercial,ASTORIA,0.04839470086275989
Noise - Commercial,42422,Noise - Commercial,BRONX,0.0637169393239357
Noise - Commercial,42422,Noise - Commercial,BROOKLYN,0.3131158361227665
Noise - Commercial,42422,Noise - Commercial,NEW YORK,0.4264296827118005
Noise - Commercial,42422,Noise - Commercial,STATEN ISLAND,0.01798595068596483
DOOR/WINDOW,39695,DOOR/WINDOW,BRONX,0.3091069404207079
DOOR/WINDOW,39695,DOOR/WINDOW,BROOKLYN,0.3583826678422975
DOOR/WINDOW,39695,DOOR/WINDOW,Flushing,0.007557626905151782
DOOR/WINDOW,39695,DOOR/WINDOW,Jamaica,0.01735734979216526
DOOR/WINDOW,39695,DOOR/WINDOW,NEW YORK,0.19309736742662803
DOOR/WINDOW,39695,DOOR/WINDOW,STATEN ISLAND,0.018969643531930973
WATER LEAK,36149,WATER LEAK,BRONX,0.3026916373896927
WATER LEAK,36149,WATER LEAK,BROOKLYN,0.37649727516667125
WATER LEAK,36149,WATER LEAK,Flushing,0.010705690337215414
WATER LEAK,36149,WATER LEAK,Jamaica,0.01587872416940994
WATER LEAK,36149,WATER LEAK,NEW YORK,0.18965946499211597
WATER LEAK,36149,WATER LEAK,STATEN ISLAND,0.01610003042961078
Dirty Conditions,35122,Dirty Conditions,BRONX,0.14002619440806333
Dirty Conditions,35122,Dirty Conditions,BROOKLYN,0.32819884972381985
Dirty Conditions,35122,Dirty Conditions,Flushing,0.02448607710267069
Dirty Conditions,35122,Dirty Conditions,Jamaica,0.03282842662718524
Dirty Conditions,35122,Dirty Conditions,NEW YORK,0.15221228859404362
Dirty Conditions,35122,Dirty Conditions,STATEN ISLAND,0.08194294174591424
Sewer,33628,Sewer,BRONX,0.10271202569287499
Sewer,33628,Sewer,BROOKLYN,0.27494944688949685
Sewer,33628,Sewer,Flushing,0.021291780658974663
Sewer,33628,Sewer,Jamaica,0.06803853931247769
Sewer,33628,Sewer,NEW YORK,0.10235518020697038
Sewer,33628,Sewer,STATEN ISLAND,0.11160342571666468
Sanitation Condition,31260,Sanitation Condition,BRONX,0.11305182341650671
Sanitation Condition,31260,Sanitation Condition,BROOKLYN,0.36481126039667305
Sanitation Condition,31260,Sanitation Condition,Flushing,0.024504158669225846
Sanitation Condition,31260,Sanitation Condition,Jamaica,0.041714651311580295
Sanitation Condition,31260,Sanitation Condition,NEW YORK,0.10569417786308381
Sanitation Condition,31260,Sanitation Condition,STATEN ISLAND,0.08854766474728087
ELECTRIC,30248,ELECTRIC,BRONX,0.28434937847130387
ELECTRIC,30248,ELECTRIC,BROOKLYN,0.3720245966675483
ELECTRIC,30248,ELECTRIC,Flushing,0.007107907960856916
ELECTRIC,30248,ELECTRIC,Jamaica,0.023075905845014545
ELECTRIC,30248,ELECTRIC,NEW YORK,0.1676474477651415
ELECTRIC,30248,ELECTRIC,STATEN ISLAND,0.021720444326897646
Rodent,28454,Rodent,ASTORIA,0.0018626555141632109
Rodent,28454,Rodent,BRONX,0.23110986153089197
Rodent,28454,Rodent,BROOKLYN,0.3187601040275532
Rodent,28454,Rodent,Flushing,0.0059042665354607435
Rodent,28454,Rodent,Jamaica,0.01947002178955507
Rodent,28454,Rodent,NEW YORK,0.23901736135516974
Rodent,28454,Rodent,STATEN ISLAND,0.0475152878329936
FLOORING/STAIRS,27007,FLOORING/STAIRS,BRONX,0.30040359906690856
FLOORING/STAIRS,27007,FLOORING/STAIRS,BROOKLYN,0.3560928648128263
FLOORING/STAIRS,27007,FLOORING/STAIRS,Flushing,0.006035472284963157
FLOORING/STAIRS,27007,FLOORING/STAIRS,Jamaica,0.01614396267634317
FLOORING/STAIRS,27007,FLOORING/STAIRS,NEW YORK,0.22023919724515867
FLOORING/STAIRS,27007,FLOORING/STAIRS,STATEN ISLAND,0.020031843596104715
General Construction/Plumbing,26861,General Construction/Plumbing,BRONX,0.09314619708871598
General Construction/Plumbing,26861,General Construction/Plumbing,BROOKLYN,0.3525557499720785
General Construction/Plumbing,26861,General Construction/Plumbing,Flushing,0.020959755779755035
General Construction/Plumbing,26861,General Construction/Plumbing,Jamaica,0.02378913666654257
General Construction/Plumbing,26861,General Construction/Plumbing,NEW YORK,0.261047615502029
General Construction/Plumbing,26861,General Construction/Plumbing,STATEN ISLAND,0.05029596813223633
Building/Use,25807,Building/Use,BRONX,0.11725500833107297
Building/Use,25807,Building/Use,BROOKLYN,0.2938350060061224
Building/Use,25807,Building/Use,Flushing,0.04301158600379742
Building/Use,25807,Building/Use,Jamaica,0.05018018367109699
Building/Use,25807,Building/Use,NEW YORK,0.07083349478823575
Building/Use,25807,Building/Use,STATEN ISLAND,0.05947998605029643
Broken Muni Meter,25428,Broken Muni Meter,ASTORIA,0.032837816580147866
Broken Muni Meter,25428,Broken Muni Meter,BRONX,0.09996853861884537
Broken Muni Meter,25428,Broken Muni Meter,BROOKLYN,0.20493157149598867
Broken Muni Meter,25428,Broken Muni Meter,NEW YORK,0.4320040899795501
Broken Muni Meter,25428,Broken Muni Meter,STATEN ISLAND,0.010303602328142205
